State-wise-report July,,,,
Sr.No.,State Name,Project Count,Original (Revised),Expenditure
,,(in no.),Cost (in cr.),Cost (in cr.)
,Maharashtra,182,535255.42 (601442.86),454254.95
,Uttar Pradesh,168,536436.18 (548156.03),342271.33
,Bihar,126,338139.67 (292208.33),187800.74
,Andhra Pradesh,119,283186.58 (272612.62),195586.79
,Madhya Pradesh,118,390076.67 (356952.02),193669.34
,Karnataka,113,293274.81 (242198.55),176779.95
,Odisha,108,305157.53 (261313.62),183622.73
,Jharkhand,103,291510.24 (240249.36),163628.88
,Gujarat,99,463616.39 (503175.72),418591.89
,West Bengal,78,232645.9 (184454.21),141576.32
,Chhattisgarh,77,237317.76 (185007.66),140530.15
,Assam,76,203460.11 (189628.59),167803.92
,Telangana,75,202755.04 (156938.14),111438.38
,Rajasthan,74,316591.24 (332166.69),272259.78
,Tamil Nadu,65,220043.25 (221723.72),106817.51
,Punjab,53,170769.4 (120178.12),118033.04
,Uttarakhand,52,146179.29 (96740.21),103701.12
,Jammu & Kashmir,52,172125.46 (119458.58),114037.36
,Manipur,40,144492.91 (94399.49),111448.86
,Haryana,39,234235.61 (254819.13),240928.74
,Himachal Pradesh,37,143839.41 (96645.29),102900.15
,Kerala,37,184024.2 (134483.68),128395.07
,Arunachal Pradesh,28,191374.31 (156136.84),123875.42
,Nagaland,27,129193.98 (80660.77),93688.27
,Mizoram,24,128119.18 (70384.69),88640.23
,Meghalaya,22,125233.08 (66616.46),88358.56
,Sikkim,21,134454.41 (84759),107502.01
,Delhi,19,107657.09 (111475.47),58309.55
,Tripura,17,131859.11 (74046.8),93385.17
,Puducherry,9,73855.07 (26440.31),55581.34
,Goa,9,35071.43 (23924.15),9844.83
,Ladakh,9,52745.96 (41982.8),31642.63
,Andaman & Nicobar,9,112782.54 (53907.01),79168.67
,Dadra & Nagar Haveli and Daman & Diu,7,203120.93 (144581.78),150644.49
,Chandigarh,3,88070.13 (28746.97),57940.41
,Lakshadweep,2,22819.69 (22819.69),21099.62
State-wise-report June,,,,
,,,,
,Maharashtra,194,571117.77 (815290.57),459002.03
,Uttar Pradesh,170,441003.08 (638282.35),302866.4
,Andhra Pradesh,128,277158.69 (453184.41),194665.66
,Bihar,128,305608.68 (445838.21),226732.2
,Karnataka,123,283484.7 (429677.74),181046.19
,Madhya Pradesh,119,356364.49 (493723.11),168773.96
,Gujarat,110,455200.03 (674691.66),475028.41
,Odisha,107,272475.09 (412828.64),233372.65
,Jharkhand,102,259360.86 (395966.01),142774.18
,Assam,85,180719.01 (346397.51),154385.16
,Telangana,83,171412.07 (316440.74),98102.06
,West Bengal,81,205345.79 (346201.04),133846.35
,Rajasthan,76,266039.71 (465524.18),247042.72
,Chhattisgarh,76,201072.2 (334997.67),111839.71
,Tamil Nadu,61,169522.68 (179093.24),75074.76
,Punjab,56,150113.33 (283672.94),106135.55
,Jammu & Kashmir,50,122485.45 (255673.73),84579.7
,Uttarakhand,49,133826.93 (270734.79),102065.57
,Haryana,40,223659.87 (430125.62),244013.61
,Manipur,38,104099.35 (240219.97),87387.17
,Himachal Pradesh,37,108271.19 (245446.58),80182.02
,Kerala,35,137688.29 (276750.51),102857.28
,Arunachal Pradesh,27,151477.22 (302369.46),99006.4
,Nagaland,26,90924.12 (219957.84),70816.39
,Delhi,23,121760.37 (125613.98),60141.2
,Mizoram,22,88125.62 (216605.29),64475.79
,Meghalaya,21,93563.8 (221051.82),65796.28
,Sikkim,19,95068.85 (231598.79),82982.58
,Tripura,14,82600.55 (211002.4),62613.92
,Goa,10,14559.92 (14713.93),7795.33
,Puducherry,9,73855.07 (200963.76),54955.97
,Ladakh,6,2634.4 (2794.4),2028.83
,Andaman & Nicobar,6,62617.98 (189956.61),49254.19
,Dadra & Nagar Haveli and Daman & Diu,5,171861.93 (299536.94),141356.19
,Chandigarh,2,61754.13 (188645.13),49216.84
,Lakshadweep,1,645.13 (645.13),407.15
State-wise-report May,,,,
,Maharashtra,205,521462.52 (642158.98),407388.94
,Uttar Pradesh,184,388034.22 (457808.07),248166.69
,Andhra Pradesh,143,228642.93 (278504.38),146835.88
,Bihar,139,258849.5 (269682.21),170070.61
,Karnataka,125,223763.73 (243500.03),114679.26
,Madhya Pradesh,123,301111.72 (312601.55),118661.28
,Gujarat,120,404930.59 (502546.03),429751.34
,Odisha,111,215275.01 (228930.81),180899.67
,Jharkhand,106,203350.13 (212112.6),87777.1
,Telangana,92,116841.13 (135482.35),51868.95
,Assam,88,121578.03 (160340.31),103212.42
,Rajasthan,82,255345.98 (366860.72),272514.02
,West Bengal,80,144731.31 (158710.71),80039.81
,Chhattisgarh,78,140560.91 (147724.61),60132.72
,Tamil Nadu,70,179008.86 (189153.21),72169.19
